Parameters: {'n': 70, 'q': 251, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 150, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 8, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'tour', 'attack_every': 2, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 130/130 | Mean std_B: 169.90
- Algo: flatter | Updated 128/128 | Mean std_B: 173.31
- Algo: flatter | Updated 129/129 | Mean std_B: 172.76
- Algo: flatter | Updated 128/128 | Mean std_B: 170.50
- Algo: flatter | Updated 127/127 | Mean std_B: 173.40
- Algo: flatter | Updated 126/126 | Mean std_B: 172.35
- Algo: flatter | Updated 128/128 | Mean std_B: 175.01
- Algo: flatter | Updated 126/126 | Mean std_B: 171.84
- Algo: flatter | Updated 128/128 | Mean std_B: 171.97
- Algo: flatter | Updated 129/129 | Mean std_B: 168.94
- Algo: flatter | Updated 128/128 | Mean std_B: 174.67
- Algo: flatter | Updated 128/128 | Mean std_B: 171.15
- Algo: flatter | Updated 130/130 | Mean std_B: 168.74
- Algo: flatter | Updated 129/129 | Mean std_B: 169.66
- Algo: flatter | Updated 129/129 | Mean std_B: 169.47
- Algo: flatter | Updated 130/130 | Mean std_B: 168.42
- Algo: flatter | Updated 128/128 | Mean std_B: 168.74
- Algo: flatter | Updated 128/128 | Mean std_B: 169.11
- Algo: flatter | Updated 130/130 | Mean std_B: 169.43
- Algo: flatter | Updated 129/129 | Mean std_B: 172.98
- Algo: flatter | Updated 130/130 | Mean std_B: 168.03
- Algo: flatter | Updated 129/129 | Mean std_B: 170.12
- Algo: flatter | Updated 128/128 | Mean std_B: 172.98
- Algo: flatter | Updated 129/129 | Mean std_B: 170.10
- Algo: flatter | Updated 128/128 | Mean std_B: 170.92
- Algo: flatter | Updated 130/130 | Mean std_B: 168.29
- Algo: flatter | Updated 129/129 | Mean std_B: 167.71
- Algo: flatter | Updated 129/129 | Mean std_B: 167.15- Algo: flatter | Updated 130/130 | Mean std_B: 169.99

- Algo: flatter | Updated 130/130 | Mean std_B: 170.02
- Algo: flatter | Updated 128/128 | Mean std_B: 170.25
- Algo: flatter | Updated 130/130 | Mean std_B: 169.84
- Algo: flatter | Updated 128/128 | Mean std_B: 168.11
- Algo: flatter | Updated 129/129 | Mean std_B: 166.01
- Algo: flatter | Updated 129/129 | Mean std_B: 171.93
- Algo: flatter | Updated 129/129 | Mean std_B: 168.93
- Algo: flatter | Updated 128/128 | Mean std_B: 169.10
- Algo: flatter | Updated 128/128 | Mean std_B: 167.31
- Algo: flatter | Updated 130/130 | Mean std_B: 164.40
- Algo: flatter | Updated 129/129 | Mean std_B: 168.11
- Algo: flatter | Updated 129/129 | Mean std_B: 170.65
- Algo: flatter | Updated 128/128 | Mean std_B: 169.30
- Algo: flatter | Updated 130/130 | Mean std_B: 168.84
- Algo: flatter | Updated 130/130 | Mean std_B: 165.75
- Algo: flatter | Updated 130/130 | Mean std_B: 163.88
- Algo: flatter | Updated 129/129 | Mean std_B: 168.09
- Algo: flatter | Updated 130/130 | Mean std_B: 167.06
- Algo: flatter | Updated 130/130 | Mean std_B: 165.66
- Algo: flatter | Updated 130/130 | Mean std_B: 166.82
- Algo: flatter | Updated 131/131 | Mean std_B: 164.67
- Algo: flatter | Updated 130/130 | Mean std_B: 167.11
- Algo: flatter | Updated 130/130 | Mean std_B: 167.92
- Algo: flatter | Updated 128/128 | Mean std_B: 166.78
- Algo: flatter | Updated 128/128 | Mean std_B: 169.19
- Algo: flatter | Updated 130/130 | Mean std_B: 166.03
- Algo: flatter | Updated 130/130 | Mean std_B: 167.65
- Algo: flatter | Updated 130/130 | Mean std_B: 168.25
- Algo: flatter | Updated 130/130 | Mean std_B: 164.66
- Algo: flatter | Updated 131/131 | Mean std_B: 164.80
- Algo: flatter | Updated 130/130 | Mean std_B: 165.50
- Algo: flatter | Updated 131/131 | Mean std_B: 166.29
- Algo: flatter | Updated 130/130 | Mean std_B: 166.14
- Algo: flatter | Updated 131/131 | Mean std_B: 166.27
Tour 1 | Time: 32.93s | Mean std_B: 168.86 | Reduction Factor: 0.4936 | Prob: 0.5427
- Algo: flatter | Updated 81/130 | Mean std_B: 167.81
- Algo: flatter | Updated 52/130 | Mean std_B: 181.52
- Algo: flatter | Updated 81/129 | Mean std_B: 166.59
- Algo: flatter | Updated 85/130 | Mean std_B: 168.50
- Algo: flatter | Updated 52/128 | Mean std_B: 185.87
- Algo: flatter | Updated 64/130 | Mean std_B: 178.25
- Algo: flatter | Updated 56/129 | Mean std_B: 181.45
- Algo: flatter | Updated 55/130 | Mean std_B: 179.79
- Algo: flatter | Updated 55/128 | Mean std_B: 184.77
- Algo: flatter | Updated 42/130 | Mean std_B: 187.77
- Algo: flatter | Updated 44/128 | Mean std_B: 187.50
- Algo: flatter | Updated 61/130 | Mean std_B: 179.29
- Algo: flatter | Updated 58/129 | Mean std_B: 178.59
- Algo: flatter | Updated 53/130 | Mean std_B: 180.88
- Algo: flatter | Updated 64/130 | Mean std_B: 178.91
- Algo: flatter | Updated 56/129 | Mean std_B: 183.68
- Algo: flatter | Updated 55/129 | Mean std_B: 181.09
- Algo: flatter | Updated 53/128 | Mean std_B: 184.12
- Algo: flatter | Updated 56/127 | Mean std_B: 185.29
- Algo: flatter | Updated 57/129 | Mean std_B: 180.83
- Algo: flatter | Updated 44/130 | Mean std_B: 185.52
- Algo: flatter | Updated 57/130 | Mean std_B: 177.80
- Algo: flatter | Updated 54/129 | Mean std_B: 181.70
