Parameters: {'n': 150, 'q': 6421, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'salsa', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 400, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 5, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 139/139 | Mean std_B: 10940.89
- Algo: flatter | Updated 139/139 | Mean std_B: 10909.28
- Algo: flatter | Updated 209/209 | Mean std_B: 7958.22
- Algo: flatter | Updated 209/209 | Mean std_B: 7996.60
- Algo: flatter | Updated 209/209 | Mean std_B: 7952.85
- Algo: flatter | Updated 209/209 | Mean std_B: 7958.16
- Algo: flatter | Updated 209/209 | Mean std_B: 7991.29
- Algo: flatter | Updated 209/209 | Mean std_B: 7983.85
- Algo: flatter | Updated 209/209 | Mean std_B: 7936.16
- Algo: flatter | Updated 209/209 | Mean std_B: 7973.14
- Algo: flatter | Updated 209/209 | Mean std_B: 7983.44
- Algo: flatter | Updated 209/209 | Mean std_B: 7974.73
- Algo: flatter | Updated 209/209 | Mean std_B: 7972.70
- Algo: flatter | Updated 209/209 | Mean std_B: 7959.96
- Algo: flatter | Updated 209/209 | Mean std_B: 7920.39
- Algo: flatter | Updated 209/209 | Mean std_B: 7972.65
- Algo: flatter | Updated 209/209 | Mean std_B: 7993.47
- Algo: flatter | Updated 209/209 | Mean std_B: 7969.16
- Algo: flatter | Updated 209/209 | Mean std_B: 7972.26
- Algo: flatter | Updated 209/209 | Mean std_B: 7988.86
- Algo: flatter | Updated 209/209 | Mean std_B: 7927.84
- Algo: flatter | Updated 209/209 | Mean std_B: 7943.97
- Algo: flatter | Updated 209/209 | Mean std_B: 8037.48
- Algo: flatter | Updated 209/209 | Mean std_B: 7999.75
- Algo: flatter | Updated 209/209 | Mean std_B: 7983.93
- Algo: flatter | Updated 209/209 | Mean std_B: 8005.67
- Algo: flatter | Updated 209/209 | Mean std_B: 7912.32
- Algo: flatter | Updated 209/209 | Mean std_B: 7960.26
- Algo: flatter | Updated 209/209 | Mean std_B: 7947.62
- Algo: flatter | Updated 209/209 | Mean std_B: 7967.92
- Algo: flatter | Updated 209/209 | Mean std_B: 7991.10
- Algo: flatter | Updated 209/209 | Mean std_B: 7943.10
- Algo: flatter | Updated 209/209 | Mean std_B: 7982.66
- Algo: flatter | Updated 209/209 | Mean std_B: 7953.98
- Algo: flatter | Updated 209/209 | Mean std_B: 7982.97
- Algo: flatter | Updated 209/209 | Mean std_B: 7988.70
- Algo: flatter | Updated 209/209 | Mean std_B: 7996.47
- Algo: flatter | Updated 209/209 | Mean std_B: 8006.16
- Algo: flatter | Updated 209/209 | Mean std_B: 7993.31
- Algo: flatter | Updated 209/209 | Mean std_B: 8004.64
- Algo: flatter | Updated 209/209 | Mean std_B: 7951.44
- Algo: flatter | Updated 209/209 | Mean std_B: 7971.93
- Algo: flatter | Updated 209/209 | Mean std_B: 7971.35
- Algo: flatter | Updated 209/209 | Mean std_B: 7948.10
- Algo: flatter | Updated 209/209 | Mean std_B: 7940.62
- Algo: flatter | Updated 209/209 | Mean std_B: 8006.61
- Algo: flatter | Updated 209/209 | Mean std_B: 7938.85
- Algo: flatter | Updated 209/209 | Mean std_B: 7981.10
- Algo: flatter | Updated 209/209 | Mean std_B: 7971.50
- Algo: flatter | Updated 209/209 | Mean std_B: 7961.33
- Algo: flatter | Updated 209/209 | Mean std_B: 7969.49
- Algo: flatter | Updated 209/209 | Mean std_B: 8002.37
- Algo: flatter | Updated 209/209 | Mean std_B: 7973.43
- Algo: flatter | Updated 209/209 | Mean std_B: 7956.38
- Algo: flatter | Updated 209/209 | Mean std_B: 7992.07
- Algo: flatter | Updated 209/209 | Mean std_B: 7973.70
- Algo: flatter | Updated 209/209 | Mean std_B: 7914.73
- Algo: flatter | Updated 209/209 | Mean std_B: 7962.88
- Algo: flatter | Updated 209/209 | Mean std_B: 7945.38
- Algo: flatter | Updated 209/209 | Mean std_B: 7892.49
- Algo: flatter | Updated 209/209 | Mean std_B: 7937.57
- Algo: flatter | Updated 209/209 | Mean std_B: 7963.09
- Algo: flatter | Updated 209/209 | Mean std_B: 8021.30
Tour 1 | Time: 39.58s | Mean std_B: 8032.51 | Reduction Factor: 0.6912 | Prob: 0.3106
- Algo: flatter | Updated 105/139 | Mean std_B: 10801.34
- Algo: flatter | Updated 102/139 | Mean std_B: 10722.69
- Algo: flatter | Updated 110/139 | Mean std_B: 10818.99
- Algo: flatter | Updated 176/209 | Mean std_B: 8029.62
- Algo: flatter | Updated 172/209 | Mean std_B: 8006.70
- Algo: flatter | Updated 182/209 | Mean std_B: 8123.53
