Parameters: {'n': 256, 'q': 6139999, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 600, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 8, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 5, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 505/505 | Mean std_B: 5196524.41
- Algo: flatter | Updated 508/508 | Mean std_B: 5087538.72
- Algo: flatter | Updated 507/507 | Mean std_B: 5050207.16
- Algo: flatter | Updated 509/509 | Mean std_B: 4997544.17
- Algo: flatter | Updated 504/504 | Mean std_B: 5229824.55
- Algo: flatter | Updated 505/505 | Mean std_B: 5090270.86
- Algo: flatter | Updated 508/508 | Mean std_B: 5044913.59
- Algo: flatter | Updated 506/506 | Mean std_B: 5110997.44
- Algo: flatter | Updated 506/506 | Mean std_B: 5097954.49
- Algo: flatter | Updated 508/508 | Mean std_B: 5007874.48
- Algo: flatter | Updated 505/505 | Mean std_B: 5158916.07
- Algo: flatter | Updated 506/506 | Mean std_B: 5134599.57
- Algo: flatter | Updated 507/507 | Mean std_B: 5057441.68
- Algo: flatter | Updated 507/507 | Mean std_B: 4987208.86
- Algo: flatter | Updated 506/506 | Mean std_B: 5088640.38
- Algo: flatter | Updated 507/507 | Mean std_B: 4990300.86
- Algo: flatter | Updated 508/508 | Mean std_B: 4985445.31
- Algo: flatter | Updated 508/508 | Mean std_B: 5009261.78
- Algo: flatter | Updated 506/506 | Mean std_B: 5082844.22
- Algo: flatter | Updated 508/508 | Mean std_B: 5045566.96
- Algo: flatter | Updated 508/508 | Mean std_B: 4952800.37
- Algo: flatter | Updated 507/507 | Mean std_B: 5068801.33
- Algo: flatter | Updated 506/506 | Mean std_B: 5147755.10
- Algo: flatter | Updated 507/507 | Mean std_B: 5032669.93
- Algo: flatter | Updated 509/509 | Mean std_B: 4973867.47
- Algo: flatter | Updated 508/508 | Mean std_B: 5009413.08
- Algo: flatter | Updated 507/507 | Mean std_B: 5047920.05
- Algo: flatter | Updated 508/508 | Mean std_B: 4966144.86
- Algo: flatter | Updated 509/509 | Mean std_B: 4976003.59
- Algo: flatter | Updated 506/506 | Mean std_B: 4987019.56
- Algo: flatter | Updated 507/507 | Mean std_B: 5042392.34
- Algo: flatter | Updated 508/508 | Mean std_B: 5055854.66
- Algo: flatter | Updated 507/507 | Mean std_B: 5101213.17
- Algo: flatter | Updated 508/508 | Mean std_B: 4997433.52
- Algo: flatter | Updated 507/507 | Mean std_B: 5067246.88
- Algo: flatter | Updated 508/508 | Mean std_B: 5040406.73
- Algo: flatter | Updated 508/508 | Mean std_B: 5080471.95
- Algo: flatter | Updated 507/507 | Mean std_B: 4974219.25
- Algo: flatter | Updated 508/508 | Mean std_B: 4964597.72
- Algo: flatter | Updated 508/508 | Mean std_B: 4969063.46
- Algo: flatter | Updated 505/505 | Mean std_B: 5046438.62
- Algo: flatter | Updated 507/507 | Mean std_B: 4950489.76
- Algo: flatter | Updated 509/509 | Mean std_B: 4940003.29
- Algo: flatter | Updated 507/507 | Mean std_B: 5130925.10
- Algo: flatter | Updated 508/508 | Mean std_B: 5033596.63
- Algo: flatter | Updated 509/509 | Mean std_B: 4886666.95
- Algo: flatter | Updated 508/508 | Mean std_B: 4961302.24
- Algo: flatter | Updated 507/507 | Mean std_B: 4967927.07
- Algo: flatter | Updated 508/508 | Mean std_B: 4886459.51
- Algo: flatter | Updated 507/507 | Mean std_B: 5021796.07
- Algo: flatter | Updated 508/508 | Mean std_B: 4979425.63
