Parameters: {'n': 300, 'q': 94056013, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 700, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 12, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 607/607 | Mean std_B: 66857054.35
- Algo: flatter | Updated 604/604 | Mean std_B: 69021988.31
- Algo: flatter | Updated 608/608 | Mean std_B: 66774054.03
- Algo: flatter | Updated 609/609 | Mean std_B: 66027115.94
- Algo: flatter | Updated 610/610 | Mean std_B: 63824826.88
- Algo: flatter | Updated 608/608 | Mean std_B: 66270318.31
- Algo: flatter | Updated 608/608 | Mean std_B: 65035251.00
- Algo: flatter | Updated 608/608 | Mean std_B: 64787638.04
- Algo: flatter | Updated 608/608 | Mean std_B: 66184967.69
- Algo: flatter | Updated 609/609 | Mean std_B: 64801717.93
- Algo: flatter | Updated 608/608 | Mean std_B: 66296472.50
- Algo: flatter | Updated 609/609 | Mean std_B: 65687645.84
- Algo: flatter | Updated 608/608 | Mean std_B: 65228263.57
- Algo: flatter | Updated 608/608 | Mean std_B: 66773161.16
- Algo: flatter | Updated 607/607 | Mean std_B: 66279300.21
- Algo: flatter | Updated 609/609 | Mean std_B: 65175193.51
- Algo: flatter | Updated 607/607 | Mean std_B: 65989659.31
- Algo: flatter | Updated 609/609 | Mean std_B: 64968806.10
- Algo: flatter | Updated 609/609 | Mean std_B: 64996650.48
- Algo: flatter | Updated 609/609 | Mean std_B: 63907578.93
- Algo: flatter | Updated 608/608 | Mean std_B: 65463190.81
- Algo: flatter | Updated 610/610 | Mean std_B: 65195571.65
- Algo: flatter | Updated 609/609 | Mean std_B: 65160205.30
- Algo: flatter | Updated 610/610 | Mean std_B: 63853850.49
- Algo: flatter | Updated 609/609 | Mean std_B: 64840146.88
- Algo: flatter | Updated 607/607 | Mean std_B: 66727529.25
- Algo: flatter | Updated 606/606 | Mean std_B: 67184803.50
- Algo: flatter | Updated 610/610 | Mean std_B: 64251170.51
- Algo: flatter | Updated 609/609 | Mean std_B: 64608290.19
- Algo: flatter | Updated 609/609 | Mean std_B: 64973597.54
- Algo: flatter | Updated 609/609 | Mean std_B: 65506836.46
- Algo: flatter | Updated 608/608 | Mean std_B: 64766832.53
- Algo: flatter | Updated 610/610 | Mean std_B: 64246052.12
- Algo: flatter | Updated 609/609 | Mean std_B: 65308331.67
- Algo: flatter | Updated 609/609 | Mean std_B: 64313086.51
- Algo: flatter | Updated 609/609 | Mean std_B: 65936480.72
- Algo: flatter | Updated 609/609 | Mean std_B: 66688535.52
- Algo: flatter | Updated 611/611 | Mean std_B: 63295597.98
- Algo: flatter | Updated 608/608 | Mean std_B: 65005202.31
- Algo: flatter | Updated 610/610 | Mean std_B: 65293081.22
- Algo: flatter | Updated 608/608 | Mean std_B: 66562951.30
- Algo: flatter | Updated 607/607 | Mean std_B: 67570185.72
- Algo: flatter | Updated 609/609 | Mean std_B: 63901325.66
- Algo: flatter | Updated 608/608 | Mean std_B: 66860008.79
- Algo: flatter | Updated 607/607 | Mean std_B: 67338547.95
- Algo: flatter | Updated 610/610 | Mean std_B: 63860913.39
- Algo: flatter | Updated 605/605 | Mean std_B: 67069175.24
- Algo: flatter | Updated 608/608 | Mean std_B: 66085323.83
- Algo: flatter | Updated 608/608 | Mean std_B: 65906617.56
- Algo: flatter | Updated 609/609 | Mean std_B: 64738498.27
- Algo: flatter | Updated 609/609 | Mean std_B: 65284812.87
- Algo: flatter | Updated 611/611 | Mean std_B: 64347139.25
- Algo: flatter | Updated 605/605 | Mean std_B: 68351558.08
- Algo: flatter | Updated 610/610 | Mean std_B: 63303266.35
- Algo: flatter | Updated 610/610 | Mean std_B: 64297685.18
- Algo: flatter | Updated 609/609 | Mean std_B: 63884778.16
- Algo: flatter | Updated 609/609 | Mean std_B: 64606514.48
- Algo: flatter | Updated 609/609 | Mean std_B: 63829638.84
- Algo: flatter | Updated 609/609 | Mean std_B: 65160371.16
- Algo: flatter | Updated 612/612 | Mean std_B: 61352175.95
- Algo: flatter | Updated 611/611 | Mean std_B: 63318503.68
- Algo: flatter | Updated 612/612 | Mean std_B: 62769598.52
