Parameters: {'n': 200, 'q': 130769, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'salsa', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 500, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 5, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 293/293 | Mean std_B: 186637.44
- Algo: flatter | Updated 293/293 | Mean std_B: 187254.46
- Algo: flatter | Updated 293/293 | Mean std_B: 185408.97
- Algo: flatter | Updated 293/293 | Mean std_B: 186468.82
- Algo: flatter | Updated 293/293 | Mean std_B: 186262.60
- Algo: flatter | Updated 293/293 | Mean std_B: 186549.26
- Algo: flatter | Updated 293/293 | Mean std_B: 186588.80
- Algo: flatter | Updated 293/293 | Mean std_B: 185846.05
- Algo: flatter | Updated 293/293 | Mean std_B: 185965.70
- Algo: flatter | Updated 293/293 | Mean std_B: 185975.11
- Algo: flatter | Updated 293/293 | Mean std_B: 185959.90
- Algo: flatter | Updated 293/293 | Mean std_B: 186417.74
- Algo: flatter | Updated 293/293 | Mean std_B: 186054.90
- Algo: flatter | Updated 293/293 | Mean std_B: 187714.55
- Algo: flatter | Updated 293/293 | Mean std_B: 186867.63
- Algo: flatter | Updated 293/293 | Mean std_B: 186971.12
- Algo: flatter | Updated 293/293 | Mean std_B: 186732.40
- Algo: flatter | Updated 293/293 | Mean std_B: 185823.86
- Algo: flatter | Updated 293/293 | Mean std_B: 186348.57
- Algo: flatter | Updated 293/293 | Mean std_B: 185970.07
- Algo: flatter | Updated 293/293 | Mean std_B: 186900.05
- Algo: flatter | Updated 293/293 | Mean std_B: 186524.22
- Algo: flatter | Updated 293/293 | Mean std_B: 186157.71
- Algo: flatter | Updated 293/293 | Mean std_B: 185562.25
- Algo: flatter | Updated 293/293 | Mean std_B: 186508.41
- Algo: flatter | Updated 293/293 | Mean std_B: 186497.87
- Algo: flatter | Updated 293/293 | Mean std_B: 186114.87
- Algo: flatter | Updated 293/293 | Mean std_B: 186755.93
- Algo: flatter | Updated 293/293 | Mean std_B: 186458.03
- Algo: flatter | Updated 293/293 | Mean std_B: 187287.66
- Algo: flatter | Updated 293/293 | Mean std_B: 186888.25
- Algo: flatter | Updated 293/293 | Mean std_B: 186710.64
- Algo: flatter | Updated 293/293 | Mean std_B: 186248.57
- Algo: flatter | Updated 293/293 | Mean std_B: 186931.87
- Algo: flatter | Updated 293/293 | Mean std_B: 186604.51
- Algo: flatter | Updated 293/293 | Mean std_B: 187113.84
- Algo: flatter | Updated 293/293 | Mean std_B: 186264.57
- Algo: flatter | Updated 293/293 | Mean std_B: 186333.39
- Algo: flatter | Updated 293/293 | Mean std_B: 186365.52
- Algo: flatter | Updated 293/293 | Mean std_B: 185562.12
- Algo: flatter | Updated 293/293 | Mean std_B: 184886.53
- Algo: flatter | Updated 293/293 | Mean std_B: 186494.52
- Algo: flatter | Updated 293/293 | Mean std_B: 186136.54
- Algo: flatter | Updated 293/293 | Mean std_B: 186926.11
- Algo: flatter | Updated 293/293 | Mean std_B: 186645.21
- Algo: flatter | Updated 293/293 | Mean std_B: 186138.61
- Algo: flatter | Updated 293/293 | Mean std_B: 186410.77
- Algo: flatter | Updated 293/293 | Mean std_B: 187091.43
- Algo: flatter | Updated 293/293 | Mean std_B: 186507.22
- Algo: flatter | Updated 293/293 | Mean std_B: 186543.24
- Algo: flatter | Updated 293/293 | Mean std_B: 186889.68
- Algo: flatter | Updated 293/293 | Mean std_B: 186440.18
- Algo: flatter | Updated 293/293 | Mean std_B: 186330.09
- Algo: flatter | Updated 293/293 | Mean std_B: 186797.11
- Algo: flatter | Updated 293/293 | Mean std_B: 186876.37
- Algo: flatter | Updated 293/293 | Mean std_B: 186067.59
- Algo: flatter | Updated 293/293 | Mean std_B: 186288.83
- Algo: flatter | Updated 293/293 | Mean std_B: 186504.71
- Algo: flatter | Updated 293/293 | Mean std_B: 186575.61
- Algo: flatter | Updated 293/293 | Mean std_B: 186742.41
