Parameters: {'n': 256, 'q': 3329, 'k': 2, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 1500, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 10, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 21/21 | Mean std_B: 21630.80
- Algo: flatter | Updated 21/21 | Mean std_B: 21738.87
- Algo: flatter | Updated 21/21 | Mean std_B: 21724.91
- Algo: flatter | Updated 21/21 | Mean std_B: 21717.41
- Algo: flatter | Updated 21/21 | Mean std_B: 21824.74
- Algo: flatter | Updated 21/21 | Mean std_B: 21785.01
- Algo: flatter | Updated 21/21 | Mean std_B: 21667.12
- Algo: flatter | Updated 21/21 | Mean std_B: 21659.24
- Algo: flatter | Updated 21/21 | Mean std_B: 21687.70
- Algo: flatter | Updated 21/21 | Mean std_B: 21768.61
- Algo: flatter | Updated 21/21 | Mean std_B: 21692.45
- Algo: flatter | Updated 21/21 | Mean std_B: 21689.84
- Algo: flatter | Updated 21/21 | Mean std_B: 21725.16
- Algo: flatter | Updated 21/21 | Mean std_B: 21742.96
- Algo: flatter | Updated 21/21 | Mean std_B: 21678.63
- Algo: flatter | Updated 21/21 | Mean std_B: 21633.94
- Algo: flatter | Updated 21/21 | Mean std_B: 21683.28
- Algo: flatter | Updated 21/21 | Mean std_B: 21764.76
- Algo: flatter | Updated 21/21 | Mean std_B: 21761.09
- Algo: flatter | Updated 21/21 | Mean std_B: 21780.13
- Algo: flatter | Updated 21/21 | Mean std_B: 21882.52
- Algo: flatter | Updated 21/21 | Mean std_B: 21615.60
- Algo: flatter | Updated 21/21 | Mean std_B: 21736.40
- Algo: flatter | Updated 21/21 | Mean std_B: 21730.73
- Algo: flatter | Updated 21/21 | Mean std_B: 21710.88
- Algo: flatter | Updated 21/21 | Mean std_B: 21783.76
- Algo: flatter | Updated 21/21 | Mean std_B: 21830.54
- Algo: flatter | Updated 21/21 | Mean std_B: 21679.18
- Algo: flatter | Updated 21/21 | Mean std_B: 21668.70
- Algo: flatter | Updated 21/21 | Mean std_B: 21694.62
- Algo: flatter | Updated 21/21 | Mean std_B: 21598.47
- Algo: flatter | Updated 21/21 | Mean std_B: 21673.30
- Algo: flatter | Updated 21/21 | Mean std_B: 21756.20
- Algo: flatter | Updated 21/21 | Mean std_B: 21757.84
- Algo: flatter | Updated 21/21 | Mean std_B: 21788.16
- Algo: flatter | Updated 21/21 | Mean std_B: 21666.77
- Algo: flatter | Updated 21/21 | Mean std_B: 21728.45
- Algo: flatter | Updated 21/21 | Mean std_B: 21832.96
- Algo: flatter | Updated 21/21 | Mean std_B: 21667.76
- Algo: flatter | Updated 21/21 | Mean std_B: 21714.60
- Algo: flatter | Updated 21/21 | Mean std_B: 21796.23
- Algo: flatter | Updated 21/21 | Mean std_B: 21721.48
- Algo: flatter | Updated 21/21 | Mean std_B: 21783.88
- Algo: flatter | Updated 21/21 | Mean std_B: 21691.69
- Algo: flatter | Updated 21/21 | Mean std_B: 21714.68
- Algo: flatter | Updated 21/21 | Mean std_B: 21578.65
- Algo: flatter | Updated 21/21 | Mean std_B: 21700.08
- Algo: flatter | Updated 21/21 | Mean std_B: 21704.19
