Parameters: {'n': 256, 'q': 6139999, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 600, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 12, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 491/491 | Mean std_B: 5567926.90
- Algo: flatter | Updated 491/491 | Mean std_B: 5535875.55
- Algo: flatter | Updated 491/491 | Mean std_B: 5558237.18
- Algo: flatter | Updated 491/491 | Mean std_B: 5512454.87
- Algo: flatter | Updated 499/499 | Mean std_B: 5276269.92
- Algo: flatter | Updated 491/491 | Mean std_B: 5564826.84
- Algo: flatter | Updated 491/491 | Mean std_B: 5517360.67
- Algo: flatter | Updated 498/498 | Mean std_B: 5291205.32
- Algo: flatter | Updated 495/495 | Mean std_B: 5411541.31
- Algo: flatter | Updated 494/494 | Mean std_B: 5447290.20
- Algo: flatter | Updated 497/497 | Mean std_B: 5391188.14
- Algo: flatter | Updated 496/496 | Mean std_B: 5394720.13
- Algo: flatter | Updated 498/498 | Mean std_B: 5288348.93
- Algo: flatter | Updated 495/495 | Mean std_B: 5354126.97
- Algo: flatter | Updated 497/497 | Mean std_B: 5264130.58
- Algo: flatter | Updated 499/499 | Mean std_B: 5253506.03
- Algo: flatter | Updated 491/491 | Mean std_B: 5611914.91
- Algo: flatter | Updated 495/495 | Mean std_B: 5440679.83
- Algo: flatter | Updated 497/497 | Mean std_B: 5335519.43
- Algo: flatter | Updated 499/499 | Mean std_B: 5243375.72
- Algo: flatter | Updated 497/497 | Mean std_B: 5347657.41
- Algo: flatter | Updated 496/496 | Mean std_B: 5369643.69
- Algo: flatter | Updated 497/497 | Mean std_B: 5315694.85
- Algo: flatter | Updated 496/496 | Mean std_B: 5362690.09
