Parameters: {'n': 256, 'q': 6139999, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 600, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 5, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 496/496 | Mean std_B: 5361616.37
- Algo: flatter | Updated 491/491 | Mean std_B: 5519802.69
- Algo: flatter | Updated 495/495 | Mean std_B: 5385423.64
- Algo: flatter | Updated 497/497 | Mean std_B: 5314691.59
- Algo: flatter | Updated 496/496 | Mean std_B: 5347011.92
- Algo: flatter | Updated 491/491 | Mean std_B: 5585166.81
- Algo: flatter | Updated 495/495 | Mean std_B: 5430478.94
- Algo: flatter | Updated 491/491 | Mean std_B: 5508018.74
- Algo: flatter | Updated 496/496 | Mean std_B: 5372245.84
- Algo: flatter | Updated 496/496 | Mean std_B: 5345514.63
- Algo: flatter | Updated 491/491 | Mean std_B: 5531033.60
- Algo: flatter | Updated 495/495 | Mean std_B: 5427845.11
- Algo: flatter | Updated 497/497 | Mean std_B: 5342272.55
- Algo: flatter | Updated 491/491 | Mean std_B: 5573173.01
- Algo: flatter | Updated 491/491 | Mean std_B: 5581851.41
- Algo: flatter | Updated 496/496 | Mean std_B: 5432723.24
- Algo: flatter | Updated 491/491 | Mean std_B: 5529371.99
- Algo: flatter | Updated 499/499 | Mean std_B: 5256294.11
- Algo: flatter | Updated 494/494 | Mean std_B: 5408884.70
- Algo: flatter | Updated 491/491 | Mean std_B: 5561346.20
- Algo: flatter | Updated 496/496 | Mean std_B: 5336155.61
- Algo: flatter | Updated 500/500 | Mean std_B: 5217631.77
- Algo: flatter | Updated 500/500 | Mean std_B: 5247838.01
