Parameters: {'n': 300, 'q': 94056013, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 600, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 8, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 2, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 617/617 | Mean std_B: 63097242.84
- Algo: flatter | Updated 618/618 | Mean std_B: 61950571.66
- Algo: flatter | Updated 617/617 | Mean std_B: 64120259.46
- Algo: flatter | Updated 617/617 | Mean std_B: 61483952.19
- Algo: flatter | Updated 617/618 | Mean std_B: 61862377.59
- Algo: flatter | Updated 618/618 | Mean std_B: 62959651.12
- Algo: flatter | Updated 616/617 | Mean std_B: 61891842.16
- Algo: flatter | Updated 619/619 | Mean std_B: 61710268.41
- Algo: flatter | Updated 617/618 | Mean std_B: 62250906.21
- Algo: flatter | Updated 616/616 | Mean std_B: 64166801.52
- Algo: flatter | Updated 617/617 | Mean std_B: 63029408.06
- Algo: flatter | Updated 618/618 | Mean std_B: 62956249.63
- Algo: flatter | Updated 617/617 | Mean std_B: 62544574.11
- Algo: flatter | Updated 617/617 | Mean std_B: 61886760.11
- Algo: flatter | Updated 618/619 | Mean std_B: 59891871.44
- Algo: flatter | Updated 619/619 | Mean std_B: 59841248.94
- Algo: flatter | Updated 618/618 | Mean std_B: 60917712.52
- Algo: flatter | Updated 620/620 | Mean std_B: 59431787.30
- Algo: flatter | Updated 620/620 | Mean std_B: 60014920.29
- Algo: flatter | Updated 619/619 | Mean std_B: 62180361.10
- Algo: flatter | Updated 618/618 | Mean std_B: 61429389.35
- Algo: flatter | Updated 617/617 | Mean std_B: 61314716.96
- Algo: flatter | Updated 620/620 | Mean std_B: 60347003.22
- Algo: flatter | Updated 617/617 | Mean std_B: 60648442.59
- Algo: flatter | Updated 619/619 | Mean std_B: 60762175.53
- Algo: flatter | Updated 619/620 | Mean std_B: 60846728.83
- Algo: flatter | Updated 619/619 | Mean std_B: 59809319.29
- Algo: flatter | Updated 619/619 | Mean std_B: 60436943.25
- Algo: flatter | Updated 619/620 | Mean std_B: 61508878.88
- Algo: flatter | Updated 618/620 | Mean std_B: 60409014.93
- Algo: flatter | Updated 620/620 | Mean std_B: 59622148.30
- Algo: flatter | Updated 620/620 | Mean std_B: 61915682.71
- Algo: flatter | Updated 618/619 | Mean std_B: 60586893.29
- Algo: flatter | Updated 618/619 | Mean std_B: 60600437.08
- Algo: flatter | Updated 616/616 | Mean std_B: 63299917.10
- Algo: flatter | Updated 619/619 | Mean std_B: 60045295.75
- Algo: flatter | Updated 617/619 | Mean std_B: 59944425.65
- Algo: flatter | Updated 617/618 | Mean std_B: 62407811.42
- Algo: flatter | Updated 618/618 | Mean std_B: 61143799.87
- Algo: flatter | Updated 619/619 | Mean std_B: 60813654.01
- Algo: flatter | Updated 618/619 | Mean std_B: 58741801.36
- Algo: flatter | Updated 619/619 | Mean std_B: 59830010.11
- Algo: flatter | Updated 619/620 | Mean std_B: 59046102.29
- Algo: flatter | Updated 621/622 | Mean std_B: 57654964.74
- Algo: flatter | Updated 619/619 | Mean std_B: 60365411.95
- Algo: flatter | Updated 621/621 | Mean std_B: 58608947.73
- Algo: flatter | Updated 620/620 | Mean std_B: 59456824.41
- Algo: flatter | Updated 617/617 | Mean std_B: 61150574.58
- Algo: flatter | Updated 619/619 | Mean std_B: 59726621.60
- Algo: flatter | Updated 621/621 | Mean std_B: 60907485.48
- Algo: flatter | Updated 618/619 | Mean std_B: 62239821.39
- Algo: flatter | Updated 617/617 | Mean std_B: 62438382.50
- Algo: flatter | Updated 618/619 | Mean std_B: 59961981.60
- Algo: flatter | Updated 618/618 | Mean std_B: 60510201.09
- Algo: flatter | Updated 620/620 | Mean std_B: 59561803.11
- Algo: flatter | Updated 619/619 | Mean std_B: 60855609.68
- Algo: flatter | Updated 621/621 | Mean std_B: 59313635.81
- Algo: flatter | Updated 619/620 | Mean std_B: 59323065.18
- Algo: flatter | Updated 620/620 | Mean std_B: 60123756.15
- Algo: flatter | Updated 618/618 | Mean std_B: 61181851.07
- Algo: flatter | Updated 621/621 | Mean std_B: 58382564.32
- Algo: flatter | Updated 619/619 | Mean std_B: 59835645.96
- Algo: flatter | Updated 620/620 | Mean std_B: 60818334.46
Tour 1 | Time: 10222.86s | Mean std_B: 60644674.81 | Reduction Factor: 0.2362 | Prob: 0.5619
[BEST 10% STD] True B is the best candidate: 2421 / 3780 (64.05%)
[BEST 30% STD] True B is the best candidate: 6881 / 11340 (60.68%)
[BEST 60% STD] True B is the best candidate: 13470 / 22680 (59.39%)
[BEST 100% STD] True B is the best candidate: 21700 / 37800 (57.41%)
- Algo: flatter | Updated 38/618 | Mean std_B: 77593628.39
- Algo: flatter | Updated 40/617 | Mean std_B: 78098828.61
- Algo: flatter | Updated 45/617 | Mean std_B: 78455188.19
- Algo: flatter | Updated 38/620 | Mean std_B: 74687414.33
- Algo: flatter | Updated 31/620 | Mean std_B: 77959865.65
- Algo: flatter | Updated 46/621 | Mean std_B: 72962386.91
- Algo: flatter | Updated 42/619 | Mean std_B: 75579307.49
- Algo: flatter | Updated 36/618 | Mean std_B: 76893045.06
- Algo: flatter | Updated 32/621 | Mean std_B: 76603951.63
- Algo: flatter | Updated 40/619 | Mean std_B: 78930833.00
- Algo: flatter | Updated 48/616 | Mean std_B: 78346995.55
- Algo: flatter | Updated 33/620 | Mean std_B: 75642566.60
- Algo: flatter | Updated 33/619 | Mean std_B: 77176571.02
- Algo: flatter | Updated 41/620 | Mean std_B: 74562779.52
- Algo: flatter | Updated 43/618 | Mean std_B: 77147967.48
- Algo: flatter | Updated 35/620 | Mean std_B: 75838261.72
- Algo: flatter | Updated 37/620 | Mean std_B: 75275134.66
- Algo: flatter | Updated 37/621 | Mean std_B: 74468758.20
- Algo: flatter | Updated 34/620 | Mean std_B: 78955275.58
- Algo: flatter | Updated 40/620 | Mean std_B: 76535127.76
- Algo: flatter | Updated 28/619 | Mean std_B: 78599015.15
- Algo: flatter | Updated 25/618 | Mean std_B: 78808255.68
- Algo: flatter | Updated 31/620 | Mean std_B: 75894635.09
- Algo: flatter | Updated 60/620 | Mean std_B: 70311135.28
- Algo: flatter | Updated 35/619 | Mean std_B: 79305409.79
- Algo: flatter | Updated 22/618 | Mean std_B: 79310348.41
- Algo: flatter | Updated 37/617 | Mean std_B: 79318307.73
- Algo: flatter | Updated 39/619 | Mean std_B: 75771882.29
- Algo: flatter | Updated 37/619 | Mean std_B: 78147781.22
- Algo: flatter | Updated 39/618 | Mean std_B: 79403760.96
- Algo: flatter | Updated 44/619 | Mean std_B: 77015339.69
- Algo: flatter | Updated 44/619 | Mean std_B: 76392054.35
- Algo: flatter | Updated 27/619 | Mean std_B: 77247626.99
- Algo: flatter | Updated 44/618 | Mean std_B: 78078407.32
- Algo: flatter | Updated 36/617 | Mean std_B: 79374077.72
- Algo: flatter | Updated 29/619 | Mean std_B: 76674826.92
- Algo: flatter | Updated 46/617 | Mean std_B: 80565757.59
- Algo: flatter | Updated 41/619 | Mean std_B: 76688557.93
- Algo: flatter | Updated 36/619 | Mean std_B: 79107848.80
- Algo: flatter | Updated 32/617 | Mean std_B: 81190296.84
- Algo: flatter | Updated 45/620 | Mean std_B: 75551290.01
- Algo: flatter | Updated 50/618 | Mean std_B: 78115030.74
- Algo: flatter | Updated 34/619 | Mean std_B: 76605069.60
- Algo: flatter | Updated 29/620 | Mean std_B: 78559860.62
- Algo: flatter | Updated 30/618 | Mean std_B: 81185056.58
- Algo: flatter | Updated 38/617 | Mean std_B: 75841792.37
- Algo: flatter | Updated 34/617 | Mean std_B: 79066612.04
- Algo: flatter | Updated 35/621 | Mean std_B: 76159886.45
- Algo: flatter | Updated 26/617 | Mean std_B: 78728851.90
- Algo: flatter | Updated 43/619 | Mean std_B: 76919548.65
- Algo: flatter | Updated 37/618 | Mean std_B: 79919235.59
- Algo: flatter | Updated 47/622 | Mean std_B: 69017411.84
- Algo: flatter | Updated 33/619 | Mean std_B: 77457831.89
- Algo: flatter | Updated 32/618 | Mean std_B: 81152525.37
- Algo: flatter | Updated 34/617 | Mean std_B: 79212555.27
- Algo: flatter | Updated 51/618 | Mean std_B: 72852944.52
- Algo: flatter | Updated 39/618 | Mean std_B: 79678642.29
- Algo: flatter | Updated 37/619 | Mean std_B: 75902966.54
- Algo: flatter | Updated 47/617 | Mean std_B: 76725913.23
- Algo: flatter | Updated 58/620 | Mean std_B: 70858953.91
- Algo: flatter | Updated 38/619 | Mean std_B: 77513759.42
- Algo: flatter | Updated 52/619 | Mean std_B: 73708308.31
- Algo: flatter | Updated 35/617 | Mean std_B: 79051056.48
Tour 2 | Time: 12088.75s | Mean std_B: 60313106.09 | Reduction Factor: 0.2348 | Prob: 0.5645
- Algo: flatter | Updated 16/617 | Mean std_B: 83870694.43
- Algo: flatter | Updated 16/621 | Mean std_B: 81269532.52
- Algo: flatter | Updated 30/618 | Mean std_B: 80343407.51
- Algo: flatter | Updated 56/619 | Mean std_B: 73640274.66
- Algo: flatter | Updated 37/617 | Mean std_B: 80852203.04
- Algo: flatter | Updated 27/620 | Mean std_B: 78125502.75
- Algo: flatter | Updated 17/619 | Mean std_B: 81195154.40
- Algo: flatter | Updated 25/621 | Mean std_B: 77976823.21
- Algo: flatter | Updated 22/619 | Mean std_B: 80110379.58
- Algo: flatter | Updated 15/618 | Mean std_B: 83117397.56
- Algo: flatter | Updated 24/618 | Mean std_B: 78157416.56
- Algo: flatter | Updated 26/619 | Mean std_B: 79810066.05
- Algo: flatter | Updated 25/619 | Mean std_B: 80481213.24
- Algo: flatter | Updated 32/617 | Mean std_B: 81938325.45
- Algo: flatter | Updated 26/619 | Mean std_B: 81233547.84
- Algo: flatter | Updated 30/620 | Mean std_B: 81261933.51
- Algo: flatter | Updated 21/620 | Mean std_B: 81259606.11
- Algo: flatter | Updated 21/617 | Mean std_B: 83197633.32
- Algo: flatter | Updated 25/617 | Mean std_B: 82557780.55
- Algo: flatter | Updated 30/619 | Mean std_B: 79649470.56
- Algo: flatter | Updated 25/620 | Mean std_B: 79730598.36
- Algo: flatter | Updated 23/619 | Mean std_B: 81209775.54
- Algo: flatter | Updated 35/617 | Mean std_B: 81991379.64
- Algo: flatter | Updated 22/618 | Mean std_B: 81479246.72
- Algo: flatter | Updated 26/618 | Mean std_B: 82190534.19
- Algo: flatter | Updated 23/619 | Mean std_B: 80325914.76
- Algo: flatter | Updated 24/617 | Mean std_B: 82557850.05
- Algo: flatter | Updated 20/619 | Mean std_B: 79525397.19
- Algo: flatter | Updated 20/617 | Mean std_B: 81164882.02
- Algo: flatter | Updated 28/619 | Mean std_B: 78936470.97
- Algo: flatter | Updated 23/618 | Mean std_B: 83034295.25
- Algo: flatter | Updated 26/617 | Mean std_B: 82989417.88
- Algo: flatter | Updated 27/617 | Mean std_B: 83797999.13
- Algo: flatter | Updated 21/617 | Mean std_B: 80818481.65
- Algo: flatter | Updated 36/617 | Mean std_B: 81800818.52
- Algo: flatter | Updated 26/620 | Mean std_B: 78398790.14
- Algo: flatter | Updated 28/622 | Mean std_B: 75933112.55
- Algo: flatter | Updated 21/620 | Mean std_B: 82132583.29
- Algo: flatter | Updated 28/620 | Mean std_B: 78084107.21
- Algo: flatter | Updated 42/619 | Mean std_B: 86237836.90
- Algo: flatter | Updated 23/620 | Mean std_B: 80189094.96
- Algo: flatter | Updated 19/619 | Mean std_B: 79855585.08
- Algo: flatter | Updated 26/619 | Mean std_B: 79465412.28
- Algo: flatter | Updated 26/619 | Mean std_B: 79871511.81
- Algo: flatter | Updated 25/619 | Mean std_B: 79744840.69
- Algo: flatter | Updated 33/619 | Mean std_B: 78560889.90
- Algo: flatter | Updated 28/619 | Mean std_B: 78829920.36
- Algo: flatter | Updated 27/618 | Mean std_B: 80074795.72
- Algo: flatter | Updated 24/618 | Mean std_B: 80477429.45
- Algo: flatter | Updated 28/619 | Mean std_B: 77644520.95
- Algo: flatter | Updated 25/618 | Mean std_B: 81265069.63
- Algo: flatter | Updated 23/621 | Mean std_B: 79814776.81
- Algo: flatter | Updated 38/620 | Mean std_B: 71543251.34
- Algo: flatter | Updated 37/616 | Mean std_B: 80181410.88
- Algo: flatter | Updated 34/619 | Mean std_B: 72027118.48
- Algo: flatter | Updated 32/621 | Mean std_B: 78254371.11
- Algo: flatter | Updated 23/618 | Mean std_B: 82288350.77
- Algo: flatter | Updated 27/620 | Mean std_B: 80349144.41
- Algo: flatter | Updated 25/618 | Mean std_B: 76191690.91
- Algo: flatter | Updated 26/617 | Mean std_B: 83833353.31
- Algo: flatter | Updated 21/620 | Mean std_B: 78530929.74
- Algo: flatter | Updated 26/619 | Mean std_B: 82684621.52
- Algo: flatter | Updated 40/620 | Mean std_B: 74604108.55
Tour 3 | Time: 13068.91s | Mean std_B: 60132152.80 | Reduction Factor: 0.2340 | Prob: 0.5658
- Algo: flatter | Updated 16/619 | Mean std_B: 82533591.71
- Algo: flatter | Updated 27/619 | Mean std_B: 82790349.28
- Algo: flatter | Updated 56/618 | Mean std_B: 75616828.83
- Algo: flatter | Updated 12/621 | Mean std_B: 80113830.87
- Algo: flatter | Updated 12/619 | Mean std_B: 84001627.95
- Algo: flatter | Updated 20/619 | Mean std_B: 84688537.34
- Algo: flatter | Updated 22/620 | Mean std_B: 81482976.68
- Algo: flatter | Updated 22/617 | Mean std_B: 84036546.36
- Algo: flatter | Updated 12/619 | Mean std_B: 83604012.21
- Algo: flatter | Updated 17/618 | Mean std_B: 84907967.49
- Algo: flatter | Updated 16/621 | Mean std_B: 83863890.83
- Algo: flatter | Updated 14/619 | Mean std_B: 82016682.41
- Algo: flatter | Updated 13/620 | Mean std_B: 82967280.38
- Algo: flatter | Updated 23/619 | Mean std_B: 83542204.41
- Algo: flatter | Updated 21/617 | Mean std_B: 84111440.13
- Algo: flatter | Updated 26/619 | Mean std_B: 84121591.06
- Algo: flatter | Updated 22/618 | Mean std_B: 84660412.93
- Algo: flatter | Updated 26/616 | Mean std_B: 83460106.92
- Algo: flatter | Updated 21/619 | Mean std_B: 81959240.22
- Algo: flatter | Updated 20/619 | Mean std_B: 82282325.85
- Algo: flatter | Updated 24/618 | Mean std_B: 82702825.00
- Algo: flatter | Updated 22/619 | Mean std_B: 83297438.44
- Algo: flatter | Updated 22/617 | Mean std_B: 84470811.73
