Parameters: {'n': 256, 'q': 179067461, 'k': 2, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'qd', 'matrix_config': 'dual', 'reduction_samples': 448, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 1500, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'no', 'attack_every': 0, 'save_strategy': 'hour', 'save_every': 40, 'stop_strategy': 'hour', 'stop_after': 46, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd'], 'reload_from_salsa': None, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 720/720 | Mean std_B: 803778912.04
- Algo: flatter | Updated 720/720 | Mean std_B: 804596515.47
- Algo: flatter | Updated 720/720 | Mean std_B: 806406572.44
- Algo: flatter | Updated 720/720 | Mean std_B: 804520193.41
- Algo: flatter | Updated 720/720 | Mean std_B: 801528649.36
- Algo: flatter | Updated 720/720 | Mean std_B: 801755127.90
- Algo: flatter | Updated 720/720 | Mean std_B: 801133654.74
- Algo: flatter | Updated 720/720 | Mean std_B: 803673072.52
- Algo: flatter | Updated 720/720 | Mean std_B: 802535560.90
- Algo: flatter | Updated 720/720 | Mean std_B: 801990441.82
- Algo: flatter | Updated 720/720 | Mean std_B: 803010242.26
- Algo: flatter | Updated 720/720 | Mean std_B: 802329361.33
- Algo: flatter | Updated 720/720 | Mean std_B: 802625528.82
- Algo: flatter | Updated 720/720 | Mean std_B: 803258108.13
- Algo: flatter | Updated 720/720 | Mean std_B: 802322637.55
- Algo: flatter | Updated 720/720 | Mean std_B: 802823157.45
- Algo: flatter | Updated 720/720 | Mean std_B: 804011392.36
- Algo: flatter | Updated 720/720 | Mean std_B: 803952108.22
- Algo: flatter | Updated 720/720 | Mean std_B: 800739369.98
- Algo: flatter | Updated 720/720 | Mean std_B: 802479163.27
- Algo: flatter | Updated 720/720 | Mean std_B: 803086246.79
- Algo: flatter | Updated 720/720 | Mean std_B: 803831219.16
- Algo: flatter | Updated 720/720 | Mean std_B: 802361429.51
- Algo: flatter | Updated 720/720 | Mean std_B: 802400036.56
- Algo: flatter | Updated 720/720 | Mean std_B: 803829004.47
- Algo: flatter | Updated 720/720 | Mean std_B: 804591740.45
- Algo: flatter | Updated 720/720 | Mean std_B: 803197898.71
- Algo: flatter | Updated 720/720 | Mean std_B: 802827782.26
- Algo: flatter | Updated 720/720 | Mean std_B: 803510580.48
- Algo: flatter | Updated 720/720 | Mean std_B: 803582622.28
- Algo: flatter | Updated 720/720 | Mean std_B: 803282814.48
- Algo: flatter | Updated 720/720 | Mean std_B: 804062699.58
- Algo: flatter | Updated 720/720 | Mean std_B: 801880490.44
- Algo: flatter | Updated 720/720 | Mean std_B: 801797436.36
- Algo: flatter | Updated 720/720 | Mean std_B: 802926119.26
- Algo: flatter | Updated 720/720 | Mean std_B: 804005439.55
- Algo: flatter | Updated 720/720 | Mean std_B: 802772862.78
- Algo: flatter | Updated 720/720 | Mean std_B: 803146650.14
- Algo: flatter | Updated 720/720 | Mean std_B: 803714077.38
- Algo: flatter | Updated 720/720 | Mean std_B: 801856889.76
- Algo: flatter | Updated 720/720 | Mean std_B: 803059580.51
- Algo: flatter | Updated 720/720 | Mean std_B: 802194525.02
- Algo: flatter | Updated 720/720 | Mean std_B: 802733945.66
- Algo: flatter | Updated 720/720 | Mean std_B: 801933501.33
- Algo: flatter | Updated 720/720 | Mean std_B: 805362058.79
- Algo: flatter | Updated 720/720 | Mean std_B: 804781982.11
- Algo: flatter | Updated 720/720 | Mean std_B: 803545007.52
- Algo: flatter | Updated 720/720 | Mean std_B: 802334189.23
- Algo: flatter | Updated 720/720 | Mean std_B: 802986708.16
- Algo: flatter | Updated 720/720 | Mean std_B: 802235529.22
- Algo: flatter | Updated 720/720 | Mean std_B: 802855561.75
- Algo: flatter | Updated 720/720 | Mean std_B: 802393651.26
- Algo: flatter | Updated 720/720 | Mean std_B: 802813307.79
- Algo: flatter | Updated 720/720 | Mean std_B: 804741722.67
- Algo: flatter | Updated 720/720 | Mean std_B: 803975344.78
- Algo: flatter | Updated 720/720 | Mean std_B: 803204984.09
