Parameters: {'n': 40, 'q': 3329, 'k': 3, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 400, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 1, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 255/255 | Mean std_B: 3311.70
- Algo: flatter | Updated 254/254 | Mean std_B: 3477.36
- Algo: flatter | Updated 253/253 | Mean std_B: 3514.58
- Algo: flatter | Updated 255/255 | Mean std_B: 3347.13
- Algo: flatter | Updated 253/253 | Mean std_B: 3586.29
- Algo: flatter | Updated 251/251 | Mean std_B: 3676.63
- Algo: flatter | Updated 255/255 | Mean std_B: 3442.67
- Algo: flatter | Updated 254/254 | Mean std_B: 3549.49
- Algo: flatter | Updated 254/254 | Mean std_B: 3522.80
- Algo: flatter | Updated 255/255 | Mean std_B: 3327.25
- Algo: flatter | Updated 254/254 | Mean std_B: 3480.16
- Algo: flatter | Updated 255/255 | Mean std_B: 3403.85
- Algo: flatter | Updated 254/254 | Mean std_B: 3352.35
- Algo: flatter | Updated 255/255 | Mean std_B: 3467.67
- Algo: flatter | Updated 255/255 | Mean std_B: 3478.35
- Algo: flatter | Updated 255/255 | Mean std_B: 3414.97
- Algo: flatter | Updated 254/254 | Mean std_B: 3477.93
- Algo: flatter | Updated 255/255 | Mean std_B: 3431.83
- Algo: flatter | Updated 254/254 | Mean std_B: 3389.68
- Algo: flatter | Updated 254/254 | Mean std_B: 3399.38
- Algo: flatter | Updated 255/255 | Mean std_B: 3347.79
- Algo: flatter | Updated 254/254 | Mean std_B: 3500.43
- Algo: flatter | Updated 254/254 | Mean std_B: 3469.20
- Algo: flatter | Updated 257/257 | Mean std_B: 3330.75
- Algo: flatter | Updated 255/255 | Mean std_B: 3449.50
- Algo: flatter | Updated 255/255 | Mean std_B: 3462.61
- Algo: flatter | Updated 253/253 | Mean std_B: 3523.73
- Algo: flatter | Updated 254/254 | Mean std_B: 3455.02
- Algo: flatter | Updated 255/255 | Mean std_B: 3383.35
- Algo: flatter | Updated 254/254 | Mean std_B: 3429.54
- Algo: flatter | Updated 255/255 | Mean std_B: 3452.68
- Algo: flatter | Updated 254/254 | Mean std_B: 3390.68
- Algo: flatter | Updated 255/255 | Mean std_B: 3319.95
- Algo: flatter | Updated 257/257 | Mean std_B: 3317.53
- Algo: flatter | Updated 256/256 | Mean std_B: 3350.71
- Algo: flatter | Updated 256/256 | Mean std_B: 3412.74
- Algo: flatter | Updated 256/256 | Mean std_B: 3345.93
- Algo: flatter | Updated 255/255 | Mean std_B: 3307.76
- Algo: flatter | Updated 256/256 | Mean std_B: 3257.93
- Algo: flatter | Updated 257/257 | Mean std_B: 3226.55
- Algo: flatter | Updated 255/255 | Mean std_B: 3453.54
- Algo: flatter | Updated 255/255 | Mean std_B: 3348.63
- Algo: flatter | Updated 255/255 | Mean std_B: 3307.00
- Algo: flatter | Updated 255/255 | Mean std_B: 3277.18
- Algo: flatter | Updated 256/256 | Mean std_B: 3378.65
- Algo: flatter | Updated 256/256 | Mean std_B: 3275.71
- Algo: flatter | Updated 253/253 | Mean std_B: 3478.39
- Algo: flatter | Updated 256/256 | Mean std_B: 3312.95
- Algo: flatter | Updated 253/253 | Mean std_B: 3307.52
- Algo: flatter | Updated 255/255 | Mean std_B: 3391.20
- Algo: flatter | Updated 258/258 | Mean std_B: 3149.97
- Algo: flatter | Updated 253/253 | Mean std_B: 3506.61
- Algo: flatter | Updated 255/255 | Mean std_B: 3327.06
- Algo: flatter | Updated 256/256 | Mean std_B: 3347.73
- Algo: flatter | Updated 257/257 | Mean std_B: 3232.85
- Algo: flatter | Updated 256/256 | Mean std_B: 3270.39
- Algo: flatter | Updated 257/257 | Mean std_B: 3325.93
- Algo: flatter | Updated 255/255 | Mean std_B: 3276.12
- Algo: flatter | Updated 255/255 | Mean std_B: 3330.95
- Algo: flatter | Updated 256/256 | Mean std_B: 3213.01
- Algo: flatter | Updated 256/256 | Mean std_B: 3266.51
- Algo: flatter | Updated 257/257 | Mean std_B: 3115.09
- Algo: flatter | Updated 256/256 | Mean std_B: 3296.28
Tour 1 | Time: 292.91s | Mean std_B: 3380.17 | Reduction Factor: 0.3133
- Algo: flatter | Updated 204/256 | Mean std_B: 3807.47
- Algo: flatter | Updated 200/254 | Mean std_B: 4045.86
- Algo: flatter | Updated 202/254 | Mean std_B: 3950.95
- Algo: flatter | Updated 206/255 | Mean std_B: 3923.32
- Algo: flatter | Updated 201/255 | Mean std_B: 3809.32
- Algo: flatter | Updated 192/256 | Mean std_B: 3974.86
- Algo: flatter | Updated 205/256 | Mean std_B: 3710.66
- Algo: flatter | Updated 201/256 | Mean std_B: 3785.07
- Algo: flatter | Updated 209/257 | Mean std_B: 3578.36
- Algo: flatter | Updated 210/254 | Mean std_B: 3807.27
- Algo: flatter | Updated 214/254 | Mean std_B: 3910.32
- Algo: flatter | Updated 212/256 | Mean std_B: 3626.36
- Algo: flatter | Updated 198/254 | Mean std_B: 3742.91
- Algo: flatter | Updated 209/256 | Mean std_B: 3846.86
- Algo: flatter | Updated 206/254 | Mean std_B: 3898.90
- Algo: flatter | Updated 212/254 | Mean std_B: 3842.69
- Algo: flatter | Updated 211/251 | Mean std_B: 4105.69
- Algo: flatter | Updated 205/254 | Mean std_B: 3892.44
- Algo: flatter | Updated 211/255 | Mean std_B: 3899.25
- Algo: flatter | Updated 211/255 | Mean std_B: 3777.01
- Algo: flatter | Updated 222/254 | Mean std_B: 3795.47
- Algo: flatter | Updated 208/255 | Mean std_B: 3722.75
- Algo: flatter | Updated 209/255 | Mean std_B: 3787.90
- Algo: flatter | Updated 207/256 | Mean std_B: 3728.94
- Algo: flatter | Updated 209/255 | Mean std_B: 3643.44
- Algo: flatter | Updated 214/256 | Mean std_B: 3636.79
- Algo: flatter | Updated 215/255 | Mean std_B: 3650.00
- Algo: flatter | Updated 211/257 | Mean std_B: 3765.10
- Algo: flatter | Updated 212/255 | Mean std_B: 3893.72
- Algo: flatter | Updated 206/256 | Mean std_B: 3728.62
- Algo: flatter | Updated 212/256 | Mean std_B: 3475.44
- Algo: flatter | Updated 210/255 | Mean std_B: 3879.36
- Algo: flatter | Updated 203/254 | Mean std_B: 3993.25
- Algo: flatter | Updated 198/257 | Mean std_B: 3674.63
- Algo: flatter | Updated 215/253 | Mean std_B: 3855.64
- Algo: flatter | Updated 204/256 | Mean std_B: 3710.40
- Algo: flatter | Updated 202/255 | Mean std_B: 3837.25
- Algo: flatter | Updated 210/257 | Mean std_B: 3602.79
- Algo: flatter | Updated 212/254 | Mean std_B: 3803.68
- Algo: flatter | Updated 208/255 | Mean std_B: 3851.72
- Algo: flatter | Updated 215/254 | Mean std_B: 3835.22
- Algo: flatter | Updated 213/254 | Mean std_B: 3937.04
- Algo: flatter | Updated 215/254 | Mean std_B: 3766.59
- Algo: flatter | Updated 201/257 | Mean std_B: 3658.92
- Algo: flatter | Updated 212/255 | Mean std_B: 3909.13
- Algo: flatter | Updated 218/254 | Mean std_B: 3758.73
- Algo: flatter | Updated 208/254 | Mean std_B: 3733.77
- Algo: flatter | Updated 209/256 | Mean std_B: 3733.10
- Algo: flatter | Updated 221/253 | Mean std_B: 3939.46
- Algo: flatter | Updated 208/257 | Mean std_B: 3594.88
- Algo: flatter | Updated 204/256 | Mean std_B: 3738.49
- Algo: flatter | Updated 207/254 | Mean std_B: 3910.49
- Algo: flatter | Updated 212/255 | Mean std_B: 3655.61
- Algo: flatter | Updated 207/255 | Mean std_B: 3914.73
- Algo: flatter | Updated 214/255 | Mean std_B: 3695.17
- Algo: flatter | Updated 214/255 | Mean std_B: 3611.76
- Algo: flatter | Updated 203/255 | Mean std_B: 3651.94
- Algo: flatter | Updated 211/255 | Mean std_B: 3875.21
- Algo: flatter | Updated 216/258 | Mean std_B: 3577.56
- Algo: flatter | Updated 211/256 | Mean std_B: 3701.57
- Algo: flatter | Updated 212/253 | Mean std_B: 3752.15
- Algo: flatter | Updated 207/256 | Mean std_B: 3711.55
- Algo: flatter | Updated 217/254 | Mean std_B: 3907.58
Tour 2 | Time: 311.42s | Mean std_B: 3467.50 | Reduction Factor: 0.3211
- Algo: flatter | Updated 70/254 | Mean std_B: 4087.54
- Algo: flatter | Updated 47/254 | Mean std_B: 4161.07
- Algo: flatter | Updated 57/255 | Mean std_B: 3878.09
- Algo: flatter | Updated 60/256 | Mean std_B: 3822.06
- Algo: flatter | Updated 45/255 | Mean std_B: 4116.97
- Algo: flatter | Updated 52/253 | Mean std_B: 4134.11
- Algo: flatter | Updated 64/254 | Mean std_B: 4032.22
- Algo: flatter | Updated 68/254 | Mean std_B: 4102.96
- Algo: flatter | Updated 75/251 | Mean std_B: 4237.22
- Algo: flatter | Updated 54/255 | Mean std_B: 4087.70
- Algo: flatter | Updated 58/254 | Mean std_B: 3889.85
- Algo: flatter | Updated 79/257 | Mean std_B: 3660.15
- Algo: flatter | Updated 59/257 | Mean std_B: 3972.33
- Algo: flatter | Updated 52/254 | Mean std_B: 4000.83
- Algo: flatter | Updated 66/256 | Mean std_B: 3894.29
- Algo: flatter | Updated 61/255 | Mean std_B: 4141.29
- Algo: flatter | Updated 67/255 | Mean std_B: 4081.21
- Algo: flatter | Updated 67/257 | Mean std_B: 3736.95
- Algo: flatter | Updated 88/254 | Mean std_B: 3934.89
- Algo: flatter | Updated 65/253 | Mean std_B: 4148.72
- Algo: flatter | Updated 90/255 | Mean std_B: 3884.25
- Algo: flatter | Updated 51/256 | Mean std_B: 3928.24
- Algo: flatter | Updated 63/256 | Mean std_B: 3911.97
- Algo: flatter | Updated 57/255 | Mean std_B: 3850.56
- Algo: flatter | Updated 67/255 | Mean std_B: 3951.65
- Algo: flatter | Updated 81/256 | Mean std_B: 3827.83
- Algo: flatter | Updated 53/256 | Mean std_B: 3891.40
- Algo: flatter | Updated 76/254 | Mean std_B: 3998.40
- Algo: flatter | Updated 125/254 | Mean std_B: 3803.79
- Algo: flatter | Updated 62/255 | Mean std_B: 4028.85
- Algo: flatter | Updated 92/256 | Mean std_B: 3767.15
- Algo: flatter | Updated 54/258 | Mean std_B: 3787.31
- Algo: flatter | Updated 52/254 | Mean std_B: 4079.11
- Algo: flatter | Updated 38/257 | Mean std_B: 3903.82
- Algo: flatter | Updated 83/255 | Mean std_B: 3788.92
- Algo: flatter | Updated 59/255 | Mean std_B: 3790.88
- Algo: flatter | Updated 88/255 | Mean std_B: 3732.34
- Algo: flatter | Updated 89/256 | Mean std_B: 3723.81
- Algo: flatter | Updated 90/255 | Mean std_B: 3785.76
- Algo: flatter | Updated 47/255 | Mean std_B: 4000.52
- Algo: flatter | Updated 89/253 | Mean std_B: 3822.97
- Algo: flatter | Updated 77/257 | Mean std_B: 3687.31
- Algo: flatter | Updated 90/255 | Mean std_B: 3702.49
- Algo: flatter | Updated 57/256 | Mean std_B: 3883.40
- Algo: flatter | Updated 139/256 | Mean std_B: 3769.52
- Algo: flatter | Updated 55/253 | Mean std_B: 3967.23
- Algo: flatter | Updated 96/255 | Mean std_B: 3898.12
- Algo: flatter | Updated 51/256 | Mean std_B: 3728.24
- Algo: flatter | Updated 93/256 | Mean std_B: 3750.13
- Algo: flatter | Updated 112/255 | Mean std_B: 3740.91
- Algo: flatter | Updated 74/254 | Mean std_B: 3952.75
- Algo: flatter | Updated 91/256 | Mean std_B: 3927.85
- Algo: flatter | Updated 122/255 | Mean std_B: 3727.86
- Algo: flatter | Updated 65/254 | Mean std_B: 4069.40
- Algo: flatter | Updated 161/253 | Mean std_B: 3703.12
- Algo: flatter | Updated 132/255 | Mean std_B: 3730.76
- Algo: flatter | Updated 106/255 | Mean std_B: 3748.90
- Algo: flatter | Updated 86/256 | Mean std_B: 3824.46
- Algo: flatter | Updated 80/257 | Mean std_B: 3730.27
- Algo: flatter | Updated 105/255 | Mean std_B: 3894.20
- Algo: flatter | Updated 107/254 | Mean std_B: 3866.61
- Algo: flatter | Updated 73/256 | Mean std_B: 3875.59
- Algo: flatter | Updated 48/254 | Mean std_B: 4234.83
- Algo: flatter | Updated 44/254 | Mean std_B: 4117.99
- Algo: flatter | Updated 30/254 | Mean std_B: 4181.67
- Algo: flatter | Updated 38/255 | Mean std_B: 4090.71
- Algo: flatter | Updated 39/257 | Mean std_B: 3789.49
- Algo: flatter | Updated 34/255 | Mean std_B: 3980.80
- Algo: flatter | Updated 33/254 | Mean std_B: 4084.20
- Algo: flatter | Updated 32/255 | Mean std_B: 4108.64
- Algo: flatter | Updated 28/256 | Mean std_B: 3880.98
- Algo: flatter | Updated 27/253 | Mean std_B: 4110.56
- Algo: flatter | Updated 39/251 | Mean std_B: 4353.70
- Algo: flatter | Updated 28/255 | Mean std_B: 4005.02
