Parameters: {'n': 50, 'q': 3329, 'k': 3, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 500, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 1, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 252/252 | Mean std_B: 6437.82
- Algo: flatter | Updated 252/252 | Mean std_B: 6447.01
- Algo: flatter | Updated 252/252 | Mean std_B: 6251.24
- Algo: flatter | Updated 252/252 | Mean std_B: 6414.34
- Algo: flatter | Updated 252/252 | Mean std_B: 6392.75
- Algo: flatter | Updated 252/252 | Mean std_B: 6328.64
- Algo: flatter | Updated 252/252 | Mean std_B: 6376.41
- Algo: flatter | Updated 252/252 | Mean std_B: 6328.91
- Algo: flatter | Updated 252/252 | Mean std_B: 6332.46
- Algo: flatter | Updated 252/252 | Mean std_B: 6254.18
- Algo: flatter | Updated 252/252 | Mean std_B: 6364.76
- Algo: flatter | Updated 252/252 | Mean std_B: 6283.75
- Algo: flatter | Updated 252/252 | Mean std_B: 6322.13
- Algo: flatter | Updated 252/252 | Mean std_B: 6314.79
- Algo: flatter | Updated 252/252 | Mean std_B: 6285.64
- Algo: flatter | Updated 252/252 | Mean std_B: 6222.05
- Algo: flatter | Updated 252/252 | Mean std_B: 6370.48
- Algo: flatter | Updated 252/252 | Mean std_B: 6308.83
- Algo: flatter | Updated 252/252 | Mean std_B: 6317.02
- Algo: flatter | Updated 252/252 | Mean std_B: 6272.49
- Algo: flatter | Updated 252/252 | Mean std_B: 6259.24
- Algo: flatter | Updated 252/252 | Mean std_B: 6292.20
- Algo: flatter | Updated 252/252 | Mean std_B: 6313.80
- Algo: flatter | Updated 252/252 | Mean std_B: 6323.94
