Parameters: {'n': 128, 'q': 3329, 'k': 1, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'salsa', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 800, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 10, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 232/232 | Mean std_B: 6368.01
- Algo: flatter | Updated 232/232 | Mean std_B: 6469.42
- Algo: flatter | Updated 232/232 | Mean std_B: 6363.37
- Algo: flatter | Updated 233/233 | Mean std_B: 6433.14
- Algo: flatter | Updated 231/231 | Mean std_B: 6456.43
- Algo: flatter | Updated 233/233 | Mean std_B: 6415.99
- Algo: flatter | Updated 232/232 | Mean std_B: 6412.59
- Algo: flatter | Updated 230/230 | Mean std_B: 6437.28
- Algo: flatter | Updated 232/232 | Mean std_B: 6412.11
- Algo: flatter | Updated 231/231 | Mean std_B: 6421.43
- Algo: flatter | Updated 232/232 | Mean std_B: 6347.12
- Algo: flatter | Updated 232/232 | Mean std_B: 6461.00
- Algo: flatter | Updated 232/232 | Mean std_B: 6391.64
- Algo: flatter | Updated 230/230 | Mean std_B: 6445.71
- Algo: flatter | Updated 232/232 | Mean std_B: 6419.54
- Algo: flatter | Updated 233/233 | Mean std_B: 6408.35
- Algo: flatter | Updated 232/232 | Mean std_B: 6439.23
- Algo: flatter | Updated 232/232 | Mean std_B: 6357.78
- Algo: flatter | Updated 233/233 | Mean std_B: 6368.00
- Algo: flatter | Updated 232/232 | Mean std_B: 6384.70
- Algo: flatter | Updated 231/231 | Mean std_B: 6410.53
- Algo: flatter | Updated 232/232 | Mean std_B: 6422.46
- Algo: flatter | Updated 233/233 | Mean std_B: 6357.02
- Algo: flatter | Updated 232/232 | Mean std_B: 6346.09
- Algo: flatter | Updated 233/233 | Mean std_B: 6413.71
- Algo: flatter | Updated 232/232 | Mean std_B: 6401.87
- Algo: flatter | Updated 232/232 | Mean std_B: 6365.28
- Algo: flatter | Updated 233/233 | Mean std_B: 6436.58
- Algo: flatter | Updated 233/233 | Mean std_B: 6391.28
- Algo: flatter | Updated 231/231 | Mean std_B: 6390.79
- Algo: flatter | Updated 233/233 | Mean std_B: 6427.47
- Algo: flatter | Updated 231/231 | Mean std_B: 6445.15
- Algo: flatter | Updated 232/232 | Mean std_B: 6447.08
- Algo: flatter | Updated 233/233 | Mean std_B: 6417.09
- Algo: flatter | Updated 232/232 | Mean std_B: 6417.53
- Algo: flatter | Updated 233/233 | Mean std_B: 6397.82
- Algo: flatter | Updated 232/232 | Mean std_B: 6360.92
- Algo: flatter | Updated 233/233 | Mean std_B: 6477.17
- Algo: flatter | Updated 232/232 | Mean std_B: 6373.57
- Algo: flatter | Updated 231/231 | Mean std_B: 6419.55
- Algo: flatter | Updated 232/232 | Mean std_B: 6395.21
- Algo: flatter | Updated 231/231 | Mean std_B: 6457.35
- Algo: flatter | Updated 233/233 | Mean std_B: 6398.09
- Algo: flatter | Updated 232/232 | Mean std_B: 6360.55
- Algo: flatter | Updated 232/232 | Mean std_B: 6449.84
- Algo: flatter | Updated 233/233 | Mean std_B: 6377.21
- Algo: flatter | Updated 232/232 | Mean std_B: 6402.58
- Algo: flatter | Updated 233/233 | Mean std_B: 6396.76
- Algo: flatter | Updated 233/233 | Mean std_B: 6386.44
- Algo: flatter | Updated 232/232 | Mean std_B: 6472.25
- Algo: flatter | Updated 231/231 | Mean std_B: 6411.72
